ISO3,Country,g_pop_pct_per_yr,GDPpc_2100_eps0.92,GDPpc_2100_eps1.22,difference_pct,in_panel_a
TUN,Tunisia,-0.18679834507469,17175.707158775007,15493.049527170158,-9.796729858340559,False
HRV,Croatia,-0.7804624964414,84002.54861477592,67703.68171369989,-19.40282428313025,False
BGR,Bulgaria,-0.85400497047406,49397.406553663954,39988.8643498659,-19.04663191897914,False
TCD,Chad,1.62028874866924,2485.138677865809,2713.014532220904,9.169542785869433,False
PRY,Paraguay,0.35105913100651,18979.10700907577,18718.77872788833,-1.3716571652341303,False
UKR,Ukraine,-1.2010216119313,10672.000927112029,7912.439475243873,-25.857957385081733,True
LBN,Lebanon,0.28179774583694,21867.42585581201,20645.441754336454,-5.588147912484043,False
BOL,Bolivia,0.47133000918872003,8769.423474139363,8788.273681009889,0.2149537757654585,False
NER,Niger,1.59451965962162,1713.2212783711825,1879.800157619636,9.723138589944757,False
LAO,Lao PDR,0.23033572977313,16796.869208153243,15972.55031891734,-4.907574614177368,False
