ISO3,Country,Region,g_agg_pct_per_yr,g_gdppc_pct_per_yr,g_pop_pct_per_yr
MDA,Moldova,Europe & Central Asia,1.32911706226917,2.267213319527,-0.93809625725782
BDI,Burundi,Sub-Saharan Africa,2.46104364530125,1.15604492448745,1.3049987208138
PYF,French Polynesia,East Asia & Pacific,1.78702562756523,2.32761340576526,-0.54058777820003
JAM,Jamaica,Latin America & Caribbean,0.21099211148428998,1.4989847114038999,-1.2879925999196
TLS,Timor-Leste,East Asia & Pacific,3.07736903310688,2.62659421839954,0.45077481470734
MUS,Mauritius,Sub-Saharan Africa,0.3518352173373,1.3804008389071598,-1.02856562156985
SWZ,Eswatini,Sub-Saharan Africa,1.6827945723992699,1.5828725083014898,0.09992206409777
LBR,Liberia,Sub-Saharan Africa,1.9740040625589501,0.9031873010601,1.07081676149884
BTN,Bhutan,South Asia,2.27907648171883,2.45886952434685,-0.17979304262801002
SLB,Solomon Islands,East Asia & Pacific,3.09548583655058,2.02418656524043,1.07129927131014
MNE,Montenegro,Europe & Central Asia,1.36073253104957,2.24513436363989,-0.88440183259031
CAF,Central African Republic,Sub-Saharan Africa,2.46249929839971,0.80556972882025,1.65692956957946
SUR,Suriname,Latin America & Caribbean,1.36622848007159,1.21999947415409,0.1462290059175
BRB,Barbados,Latin America & Caribbean,0.9575983226007201,1.44721949298515,-0.48962117038442
VUT,Vanuatu,East Asia & Pacific,3.22980375612247,1.93712261660772,1.2926811395147402
GNB,Guinea-Bissau,Sub-Saharan Africa,2.2854020341351498,1.29708642466911,0.9883156094660299
WSM,Samoa,East Asia & Pacific,2.88558829501851,2.14229089259973,0.74329740241877
LSO,Lesotho,Sub-Saharan Africa,1.8475621791035,1.4101107302618,0.4374514488417
BLZ,Belize,Latin America & Caribbean,1.5634593330314601,1.47117797804626,0.09228135498519
ABW,Aruba,Latin America & Caribbean,0.94228123187762,1.4199170735375501,-0.47763584165992
COM,Comoros,Sub-Saharan Africa,2.24683297096555,1.20631992247538,1.04051304849016
CUW,Curacao,Latin America & Caribbean,0.8483882479136401,1.41640128079396,-0.5680130328803099
SYC,Seychelles,Sub-Saharan Africa,1.17893257614611,1.33350297360316,-0.15457039745705
CPV,Cabo Verde,Sub-Saharan Africa,0.9606476489656899,1.26357083695761,-0.30292318799192
ATG,Antigua and Barbuda,Latin America & Caribbean,1.01322797081819,1.43655206748758,-0.42332409666939
TON,Tonga,East Asia & Pacific,2.52620832683876,2.36368381523752,0.16252451160123
KIR,Kiribati,East Asia & Pacific,2.8851422663394297,2.22214153520659,0.66300073113284
GRD,Grenada,Latin America & Caribbean,0.8963020626336001,1.50341351426345,-0.60711145162985
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,2.51499797512276,2.35139760987995,0.1636003652428
STP,Sao Tome and Principe,Sub-Saharan Africa,2.34124788040928,1.26419750168647,1.0770503787228098
