ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
LUX,Luxembourg,Europe & Central Asia,71886934704.64862,106809.93989125191,673036.0,111573658075.43811,140971.2356789925,791464.0,161518038602.07513,204487.89870949645,789866.0,216710631079.36035,289723.9683409676,747990.0,0.014519321485708088,0.013129969000715645,0.0013893524849924472,-3.469446951953614e-18,59495595196.517685,777164300787.6954,0.7864925889878819,0.6707194507994338,0.23225459009526975,73,1,75,1,80,1,85,1
MLI,Mali,Sub-Saharan Africa,21503297597.401703,878.4530973857651,24478595.0,60582970325.87401,1312.6244015371644,46154079.0,131336921983.77612,1971.1219215922952,66630542.0,215369371313.70422,2714.03131587823,79354048.0,0.030317740265230785,0.014842471871049367,0.015475268394181417,0.0,51531509347.1319,937468166965.0983,0.872259200114512,0.7989847318052706,0.13833004861178883,112,160,102,160,91,158,86,158
SVN,Slovenia,Europe & Central Asia,55924228181.68803,26395.576234680102,2118697.0,86533550440.74939,43669.561420133294,1981553.0,137893794283.18774,78505.89235337994,1756477.0,202502975386.4416,124080.34858801187,1632031.0,0.016931011491807157,0.020364906565819487,-0.003433895074012327,-3.469446951953614e-18,54351611791.168755,613928733820.3406,0.8127959389991488,0.6970228008107008,0.23122252994058304,85,33,89,32,84,29,87,30
BGR,Bulgaria,Europe & Central Asia,64556374857.58605,9553.02542889826,6757689.0,91899143636.62584,17011.375817858825,5402217.0,137112631466.56317,32204.191811861037,4257602.0,198674496106.4015,56262.63271173168,3531198.0,0.014791169956466873,0.0233312196612075,-0.008540049704740624,-1.734723475976807e-18,53022022519.618256,724078553258.745,0.7962008081603509,0.680427669971903,0.22931402889322813,78,70,85,67,85,61,88,56
SDN,Sudan,Sub-Saharan Africa,34354828101.666832,680.9818489562775,50448963.0,73265548325.3813,859.8598572759661,85206383.0,125552332065.73224,1079.6653268694406,116288195.0,198022153424.73395,1446.570686418772,136890755.0,0.023047846651825153,0.009913359712534155,0.013134486939291,-1.734723475976807e-18,41803582878.020874,927480287668.03,0.6999346222577029,0.6266601539484615,0.12765073575458666,99,165,95,166,94,168,89,168
HRV,Croatia,Europe & Central Asia,67985809864.24037,17543.253756585673,3875325.0,97716906719.42883,30213.998911441868,3234160.0,136181316402.30801,51890.49694532156,2624398.0,193823731154.66748,90510.97470190254,2141439.0,0.013784870247445478,0.021589495211859537,-0.007804624964414061,2.6020852139652106e-18,45230290760.53622,631877119842.062,0.8530268623324667,0.7372537241440187,0.22234134099976174,76,49,83,46,86,44,90,42
UKR,Ukraine,Europe & Central Asia,78011584717.93037,2060.515830531744,37860221.0,111540621428.29825,3486.719636802319,31990132.0,152787006882.22473,6700.289083394195,22803047.0,187513411891.85416,12338.516777626688,15197403.0,0.011539382042844255,0.023549598162157265,-0.012010216119313008,-1.734723475976807e-18,41991660747.551926,825810905669.2684,0.8376573857972562,0.7218842476088082,0.21716814940777387,69,133,76,130,81,126,91,122
ZMB,Zambia,Sub-Saharan Africa,27942770624.37288,1310.9466716409304,21314956.0,64104630758.12188,1683.270296432995,38083385.0,116937191044.59517,2192.7368832846446,53329331.0,186797070720.8155,2897.2502728206473,64473916.0,0.024998214895129846,0.010434376040302113,0.014563838854827734,0.0,43683220881.61969,770734447450.7764,0.7551328645889526,0.6818583962797112,0.128908684022285,104,147,99,151,96,154,92,154
TUN,Tunisia,Middle East & North Africa,49442250681.623184,4027.1900071607397,12277109.0,86072903394.22617,6547.887420471653,13145141.0,133907357636.19325,10942.054881497541,12237862.0,182615998833.91187,17143.444435267516,10652235.0,0.017191845336157616,0.01905982878690453,-0.001867983450746906,-6.071532165918825e-18,40846088534.383255,728469539039.1012,0.8010144163372878,0.7946311777884089,0.21325436615202836,87,108,90,111,89,108,93,104
PRY,Paraguay,Latin America & Caribbean,44833529352.440674,6470.275566500072,6929153.0,83538617102.56084,9668.302200270822,8640464.0,124222900535.73358,13382.281391471994,9282640.0,171445260518.5637,18948.438213017685,9047989.0,0.017648786216705407,0.014138194906640268,0.003510591310065138,8.673617379884035e-19,40798674140.60194,663116295966.0986,0.9224546763634496,0.8688988691500829,0.1570862612504241,90,86,91,87,95,93,94,99
BLR,Belarus,Europe & Central Asia,61034323048.52695,6739.137876387475,9056696.0,90680635250.33365,12166.106608899127,7453546.0,129504137252.5955,22657.31102745882,5715777.0,170494884094.43393,39185.56036445134,4350962.0,0.013516696211884713,0.023162846258665604,-0.00964615004678089,0.0,38585899579.10361,628139283445.9685,0.8289712576927917,0.7131981195043439,0.23181095241732746,80,80,86,76,93,71,95,70
SEN,Senegal,Sub-Saharan Africa,26721705767.88144,1444.2616406911518,18501984.0,59290761637.16609,1952.6050208133393,30364954.0,106394995851.97318,2612.293344483567,40728579.0,161145236768.25836,3427.587510889976,47014186.0,0.023642498221360542,0.011371821690064893,0.012270676531295648,1.734723475976807e-18,38934784889.29309,714544338650.6135,0.7606929247428327,0.6874184564335915,0.1309645910043142,107,142,104,147,101,146,96,147
CRI,Costa Rica,Latin America & Caribbean,74251204349.21399,14474.172909313027,5129910.0,105119374970.76657,19633.25177119927,5354150.0,129931436644.7573,27314.688014077703,4756834.0,155844173531.9291,41267.11147274656,3776474.0,0.009755297666714407,0.01378552589175455,-0.004030228225040147,4.336808689942018e-18,27919599489.461388,655184231282.5984,0.8559885166585594,0.8024327094451924,0.15583133142529781,71,58,79,64,92,65,97,69
TCD,Chad,Sub-Saharan Africa,16771306600.926609,826.2084327941956,20299123.0,46383067534.730064,1193.6652001030134,38857686.0,94291446742.84564,1648.8616313100474,57185785.0,155757783269.70273,2239.617286716845,69546607.0,0.0293241137297771,0.01312122624308463,0.016202887486692467,3.469446951953614e-18,34210866598.07325,808759782908.8956,0.8534439543590077,0.7801694860497664,0.12805085629389476,122,162,110,162,104,163,98,164
LBN,Lebanon,Middle East & North Africa,34407188866.00928,5926.182235779234,5805962.0,64600501322.15742,9229.61874857591,6999260.0,101038849168.60083,13578.26941058174,7441217.0,155403422574.13092,21606.03890421296,7192592.0,0.019838933431159986,0.017020955972790523,0.0028179774583694645,-1.3010426069826053e-18,35777941937.45113,655108622813.0999,0.8383744146046097,0.8319911760557309,0.21595979192409,98,91,98,91,102,91,99,96
LAO,Lao PDR,East Asia & Pacific,20848557495.028908,2683.2745389601623,7769819.0,53906327755.983986,5524.726166754787,9757285.0,97023501463.53659,9600.901263067331,10105666.0,148240885941.13034,16015.17218272078,9256278.0,0.025809918386786628,0.023506561089055297,0.002303357297731328,3.469446951953614e-18,40103793681.32926,536388380602.2613,0.9396324712213712,0.8554498585440614,0.2676406915122831,114,124,108,119,103,112,100,109
BOL,Bolivia,Latin America & Caribbean,38814590086.11011,3126.851295251116,12413315.0,71812118000.92343,4457.566472697384,16110162.0,110640818578.81761,6227.796321429231,17765645.0,148016428358.56207,8333.993692912121,17760564.0,0.01761219817016932,0.012898898078282062,0.004713300091887258,-1.734723475976807e-18,35174239623.64556,583685113060.8458,0.8200110750159126,0.7664552678025457,0.15045009189031527,95,118,96,125,98,127,101,131
