ISO3,g_pop_pct,g_agg_A_pct,g_agg_B_pct,g_agg_fitted_pct,oadr_2024,oadr_2050,oadr_2100,pressure_2050_pct,pressure_2100_pct,benefit_shortfall_2050_pct,benefit_shortfall_2100_pct,benefit_shortfall_2100_fitted_vs_B_pct,debt_wedge_pp_per_100pct_debt,doubling_years_A,doubling_years_B,doubling_delay_years,npv_ratio_B_over_A,gdp_2100_ratio_B_over_A
IRQ,1.029059768183427,3.163857675554191,3.307033829374034,3.163857675554191,0.0582861543150712,0.10017643054083131,0.2254503901848966,17.18700293715011,38.67992198733916,8.341072597457933,11.495481218565695,11.495481218565695,-0.1431761538198434,33.0,28.0,-5.0,1.0922441384394206,1.1149548121856567
ISL,-0.10732379279570121,1.7670919808701475,1.6877499504797266,1.7670919808701475,0.2737993368274681,0.4151146795913879,0.6173373670304197,15.161274106845928,22.547073129670462,0.2764909399587623,-5.851789982724198,-5.851789982724198,0.07934203039042069,39.0,40.0,1.0,0.9879583259406914,0.9414821001727581
ISR,0.9785205476426955,2.750997009852909,2.859264987553246,2.750997009852909,0.2166439051575951,0.2836782092367284,0.48169437252582054,13.094216014541002,22.23438375408796,5.15445754159376,8.57637572122365,8.57637572122365,-0.1082679777003364,38.0,34.0,-4.0,1.0582863803982563,1.0857637572122365
ITA,-0.680625127396496,1.4438794523125853,1.2533071436375798,1.4438794523125853,0.4102392616698188,0.6621352470008054,0.6369292646917174,16.140221301727216,15.525799800321163,-7.9102242799241385,-13.483492715058565,-13.483492715058565,0.1905723086750055,35.0,39.0,4.0,0.9146657011885783,0.8651650728494144
JAM,-1.287992599919606,0.21099211148429883,-0.32944606529571374,0.21099211148429883,0.1733028157953837,0.3525612491961367,0.8140580812793385,20.343653828014023,46.97315952676072,-7.207869267719447,-33.68360367728602,-33.68360367728602,0.5404381767800125,51.0,74.0,23.0,0.9118479198468794,0.6631639632271397
JOR,0.8063795021140929,2.427217741254269,2.703564556442664,2.427217741254269,0.0681322429699555,0.1685086686242084,0.41976811585188306,24.73258787304511,61.61078772013856,16.664820678153603,23.37071498647909,23.37071498647909,-0.27634681518839516,44.0,34.0,-10.0,1.165951189566142,1.2337071498647907
JPN,-0.6269535511114123,1.6525155078557254,1.5365101785854782,1.6525155078557254,0.4969709933635027,0.7121257071675149,0.6933404106544222,14.32932136235646,13.951325528314843,-4.927680877746743,-8.438934175119162,-8.438934175119162,0.1160053292702471,31.0,34.0,3.0,0.9535734461552701,0.9156106582488083
KAZ,0.6470284567833515,2.7839296410039283,2.8298902703718847,2.7839296410039283,0.1330305986653074,0.2041164914320679,0.3788370104934241,15.343574597120021,28.4774340861641,2.547200402410965,3.554729906091203,3.554729906091203,-0.04596062936795646,32.0,30.0,-2.0,1.0257034824085547,1.035547299060912
KEN,0.8068629483618129,2.0630461215555904,2.20314429693266,2.0630461215555904,0.0524300054975929,0.110282371045603,0.3124538675741856,21.03420932325978,59.59447545519151,7.343703396261625,11.234968718449512,11.234968718449512,-0.1400981753770691,54.0,44.0,-10.0,1.0833717944773509,1.1123496871844951
KHM,0.3341765650492869,2.720401593017475,2.740920762882541,2.720401593017475,0.0826306524424995,0.1844937609765691,0.449271229487752,22.32752078351959,54.37101320244181,3.137092124197527,1.5716798937456922,1.5716798937456922,-0.020519169865066203,28.0,26.0,-2.0,1.0298990413209448,1.015716798937457
KIR,0.6630007311328459,2.885142266339438,3.1030685133506775,2.885142266339438,0.0772839630731978,0.1220369979601885,0.2416408024829616,15.790727223007941,31.26661636827512,13.269042601962088,18.01292279918436,18.01292279918436,-0.21792624701123914,32.0,27.0,-5.0,1.1336821089384699,1.1801292279918436
KOR,-1.1337531152025313,1.0052010859357439,1.015594040854669,1.0052010859357439,0.2792504795882848,0.6632470682901302,0.7035035341443424,23.750973293510324,25.19256314909677,-0.7810852778759148,0.792992233398504,0.792992233398504,-0.01039295491892505,37.0,37.0,0.0,1.0029139016725142,1.007929922333985
