ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
ISL,Iceland,Europe & Central Asia,23675334535.505974,60181.940170987946,393396.0,42429151695.114784,97990.38713123488,432993.0,63246148840.307076,153429.25895901208,412217.0,90687875820.37256,250116.87237748306,362582.0,0.017670919808701474,0.018744157736658485,-0.0010732379279570121,1.0842021724855044e-18,23830148495.607273,325621199492.6011,0.8159218889136779,0.70014875072523,0.22593299791282195,108,8,116,6,123,8,123,7
RWA,Rwanda,Sub-Saharan Africa,14208450902.521805,996.6249871039644,14256567.0,33393535537.759605,1470.5684291403131,22707910.0,60309498285.57526,2064.3928291746506,29214158.0,90347804445.9195,2756.2418251395097,32779346.0,0.024339865718870007,0.013384852833842456,0.010955012885027551,0.0,20878254105.089676,368693500047.50684,0.8698417823801585,0.7965673140709173,0.13881013080718588,135,156,125,157,124,157,124,157
SOM,Somalia,Sub-Saharan Africa,8646447378.074823,454.8571042480973,19009151.0,23202649327.246212,623.6179657809959,37206512.0,48978395821.79912,884.9433808629102,55346361.0,82215026285.07967,1220.4589542495214,67364024.0,0.029634073132031206,0.012986828236386494,0.016647244895644713,-3.469446951953614e-18,16933080628.109165,358360209447.614,0.8120256640798661,0.7387511957706249,0.13438926335496565,144,171,138,171,127,171,125,171
PRI,Puerto Rico,Latin America & Caribbean,97685034896.82481,30129.20682869579,3242204.0,106795370656.80772,42650.010605779295,2503994.0,91879030724.03091,55290.658574794776,1661746.0,80523459851.11182,80877.29802999304,995625.0,-0.0025421026919995424,0.012992607094481799,-0.015534709786481343,1.734723475976807e-18,8151528582.332925,698634664040.9633,0.94612745835204,0.8925716511386731,0.15701400809364527,64,30,78,33,105,42,126,46
GNQ,Equatorial Guinea,Sub-Saharan Africa,9591313427.93759,5068.022372300995,1892516.0,25715871258.336098,8180.05605393854,3143728.0,47531798273.07304,11209.935847318817,4240149.0,79483767629.62077,15886.513079593049,5003223.0,0.02782493397974733,0.015033155768567534,0.012791778211179798,0.0,16075106036.348541,378322393059.47894,0.9928473967270126,0.9195729284177714,0.14248341277783147,141,98,133,100,129,107,127,112
BIH,Bosnia and Herzegovina,Europe & Central Asia,21194630274.429985,6698.1465370910555,3164253.0,31893529498.169792,12990.370715380986,2455167.0,46131895257.05734,25599.746541877335,1802045.0,72612639050.46051,53139.196106190015,1366461.0,0.016202514968812917,0.02725110474340618,-0.01104858977459326,-1.734723475976807e-18,15066221173.094923,284635424665.9976,0.7340844340876757,0.6183112958992276,0.25295478621224016,113,81,127,74,130,68,128,61
MDG,Madagascar,Sub-Saharan Africa,14080592313.44173,440.500913357795,31964956.0,27821097830.258667,523.0957856493463,53185475.0,44892044952.07259,620.3751056216524,72362744.0,69026984489.62575,808.8359028123895,85341148.0,0.02091710644926667,0.007995836027802954,0.012921270421463717,0.0,15431457054.750479,277807368009.2348,0.6268834326136992,0.5536089643044578,0.12049242481698803,136,172,131,173,131,173,129,173
BRN,Brunei Darussalam,East Asia & Pacific,13460545148.387642,29089.98110824372,462721.0,24204235714.854843,46586.8330825171,519551.00000000006,40258368790.47,79961.32620909165,503473.0,65167487391.41136,140203.62773159417,464806.0,0.020752603423119628,0.02069344771824884,5.9155704870787096e-05,1.3484764520288461e-18,14176510808.70669,218946587869.83014,0.41599453145154097,0.33181191877423133,0.2288663805235051,137,32,136,30,134,30,130,29
SLV,El Salvador,Latin America & Caribbean,28731074808.489555,4533.007248042077,6338193.0,44210219094.0416,6634.837676753031,6663346.0,54827462994.64607,8877.646030052307,6175901.0,64059545854.03989,12626.986946969608,5073225.0,0.01055044436594986,0.01347961544484944,-0.00292917107889958,-8.673617379884035e-19,12731036679.396622,273015233048.93808,0.7470079809572833,0.6934521737439163,0.14176745214826883,102,103,112,110,126,118,131,121
GUY,Guyana,Latin America & Caribbean,19382782995.657814,23322.206935805534,831087.0,32907140491.497963,34985.004886735864,940607.0,47797660656.14426,50099.21876626654,954060.0,63524165386.76557,71459.6124276289,888952.0,0.015618884121012346,0.014733242564577148,0.0008856415564351946,3.144186300207963e-18,13320642103.861506,240798807363.94614,0.8044016406172743,0.7508458334039073,0.1532339280968417,116,37,126,43,128,48,132,50
