ISO3,Region,n_obs,beta_mean,hdi_lo,hdi_hi
NIC,Latin America & Caribbean,12,0.9314669369259944,0.408554994327462,1.4283800146954737
CAF,Sub-Saharan Africa,12,0.9325508597555351,0.39916506822548214,1.4650559149170048
CHE,Europe & Central Asia,12,0.9327473010255987,0.3558215639454254,1.4735496324936088
KGZ,Europe & Central Asia,6,0.9327973617634517,0.3407079030975498,1.4856115896583855
RUS,Europe & Central Asia,6,0.934534703006381,0.34931841157312365,1.4966127578348791
GBR,Europe & Central Asia,12,0.9350978435105386,0.39851494726887227,1.5293057191916015
PLW,East Asia & Pacific,10,0.9351971741453435,0.40898871303440487,1.421967118899204
SWE,Europe & Central Asia,12,0.9353433534984571,0.3723943821078147,1.4985793404501853
MRT,Sub-Saharan Africa,11,0.9361578008672756,0.47380053949149437,1.4618711624209988
AGO,Sub-Saharan Africa,8,0.9373669541133918,0.4800307155065304,1.4117134074308428
BGR,Europe & Central Asia,8,0.9409332165113508,0.40342092140544106,1.4920651181693738
NOR,Europe & Central Asia,12,0.9417153995210352,0.41832850036753566,1.524670567430011
FRO,Europe & Central Asia,2,0.9441536653748558,0.39712048117353593,1.5295592835878886
POL,Europe & Central Asia,6,0.9449386828112017,0.3707224292508775,1.5016127020951002
UZB,Europe & Central Asia,6,0.94543860545871,0.45274484934950204,1.5067928229381728
NAM,Sub-Saharan Africa,8,0.9455456661043373,0.41999903628613805,1.4682484321537328
SVK,Europe & Central Asia,6,0.9456107418381976,0.37058255762981807,1.5270049278024889
BEL,Europe & Central Asia,12,0.9466275403080984,0.3776780158835766,1.5151675787225263
GEO,Europe & Central Asia,12,0.9469975791497921,0.4133389506827032,1.5121482404965578
SRB,Europe & Central Asia,5,0.9472184214097854,0.3765583439458412,1.5094893841361565
CZE,Europe & Central Asia,6,0.9475349909823353,0.3669986891040653,1.504374718332898
TZA,Sub-Saharan Africa,12,0.9477186054442003,0.47936968203688335,1.398060205815605
MDA,Europe & Central Asia,6,0.9491274023536456,0.3949866853495609,1.5132392758870803
UKR,Europe & Central Asia,6,0.9499271718170168,0.40127006866457626,1.5504020507053653
FIN,Europe & Central Asia,12,0.9512318285758979,0.37273799319931017,1.5215997959184318
AUT,Europe & Central Asia,12,0.9519290534977681,0.4002070856564101,1.536075987397402
SVN,Europe & Central Asia,6,0.9521177716190536,0.3820203307565977,1.563286316124999
PRT,Europe & Central Asia,12,0.9522764520786924,0.3613395510485016,1.5206544619348312
IRQ,Middle East & North Africa,12,0.9529839581655345,0.5007642491993477,1.439435912399121
ISL,Europe & Central Asia,12,0.9535126773361408,0.4152165347895248,1.5107829573797253
PNG,East Asia & Pacific,12,0.9539130809956021,0.47088518018821823,1.4224872149288061
DNK,Europe & Central Asia,12,0.9555935874907341,0.3689069967212628,1.5474888657417911
GAB,Sub-Saharan Africa,12,0.9557049748666466,0.4588675875495919,1.460240988187063
